store,category,brand,product,full_product_text,price,sale_price,price_unit,per_unit_price,sale_per_unit_price,units,price_per_1,is_sale
freshco,flyer,,Kadoya Sesame Oil 163 mL,Kadoya Sesame Oil 163 mL,,3.99,each,,3.99,,True,True
freshco,flyer,,Kikkoman Soy Sauce 296 mL Selected Varieties,Kikkoman Soy Sauce 296 mL Selected Varieties,,3.99,each,,3.99,,True,True
freshco,flyer,,Lee Kum Kee Chili Garlic Sauce or Black Bean Garlic Sauce 368g,Lee Kum Kee Chili Garlic Sauce or Black Bean Garlic Sauce 368g,,3.99,each,,3.99,,True,True
freshco,flyer,,Heiwa Sanuki-Style Udon 1.25 kg or Nissin Noodles 500 g Selected Varieties,Heiwa Sanuki-Style Udon 1.25 kg or Nissin Noodles 500 g Selected Varieties,,4.99,each,,0.3992,100g,True,True
freshco,flyer,,Binggrae Melona Ice Bars 560 mL Selected Varieties,Binggrae Melona Ice Bars 560 mL Selected Varieties,,4.99,each,,4.99,,True,True
freshco,flyer,,Leo Gan Ma Chilli in Oil 210-275 g Selected Varieties,Leo Gan Ma Chilli in Oil 210-275 g Selected Varieties,,5.0,each,,1.1904761904761905,100g,True,True
freshco,flyer,,Lee Kum Kee Hoisin Sauce 443mL or Lee kum kee Oyster Sauce 510g,Lee Kum Kee Hoisin Sauce 443mL or Lee kum kee Oyster Sauce 510g,,5.0,each,,2.5,,True,True
freshco,flyer,,Assi Tofu 454 g Selected Varieties,Assi Tofu 454 g Selected Varieties,,3.0,each,,0.3303964757709251,100g,True,True
freshco,flyer,,O'Tasty Dumplings 567 g Selected Varieties,O'Tasty Dumplings 567 g Selected Varieties,,4.99,each,,0.8800705467372135,100g,True,True
freshco,flyer,,UFC 100% Coconut Water 1 L,UFC 100% Coconut Water 1 L,,3.99,each,,0.399,100ml,True,True
freshco,flyer,,Knorr Chicken Broth Mix 1 kg,Knorr Chicken Broth Mix 1 kg,,9.99,each,,0.9990000000000001,100g,True,True
freshco,flyer,,Paldo Aloe Drink 1.5 L Selected Varieties,Paldo Aloe Drink 1.5 L Selected Varieties,,2.99,each,,0.19933333333333336,100ml,True,True
freshco,flyer,,Joyshare Butane Fuel 4x227 g,Joyshare Butane Fuel 4x227 g,,7.99,each,,3.5198237885462555,100g,True,True
freshco,flyer,,OHO Chafing Dish Pot,OHO Chafing Dish Pot,,16.99,each,,16.99,,True,True
freshco,flyer,,Spiky Portable Butane Gas Burner,Spiky Portable Butane Gas Burner,,22.99,each,,22.99,,True,True
freshco,flyer,,Email Acquisition,Email Acquisition,,,each,,,,True,True
