store,category,brand,product,full_product_text,price,sale_price,price_unit,per_unit_price,sale_per_unit_price,units,price_per_1,is_sale
sobeys,flyer,,Shiitake,Shiitake,,,each,,,,True,True
sobeys,flyer,,Enoki,Enoki,,,each,,,,True,True
sobeys,flyer,,Sobeys,Sobeys,,,each,,,,True,True
sobeys,flyer,VITALITE,"VITALITE Plant-Based Shreds, Slices or Spreads","VITALITE Plant-Based Shreds, Slices or Spreads",,5.49,each,,2.745,100g,True,True
sobeys,flyer,OUTER AISLE,OUTER AISLE Cauliflower Sandwich Thins or Pizza Crust,OUTER AISLE Cauliflower Sandwich Thins or Pizza Crust,,6.99,each,,4.922535211267606,100g,True,True
sobeys,flyer,ALPHA,ALPHA Plant Based Spicy Chicken Nugget or Patty,ALPHA Plant Based Spicy Chicken Nugget or Patty,,5.49,each,,1.9399293286219081,100g,True,True
sobeys,flyer,COVE,COVE Soda,COVE Soda,,5.0,each,,2.5,,True,True
sobeys,flyer,DAIYA,DAIYA Flatbread,DAIYA Flatbread,,8.99,each,,2.809375,100g,True,True
sobeys,flyer,SAVE DA SEA,SAVE DA SEA Smoked Salmon or Tuna,SAVE DA SEA Smoked Salmon or Tuna,,7.99,each,,7.99,100g,True,True
sobeys,flyer,GOOD TO GO,GOOD TO GO Bars,GOOD TO GO Bars,,5.0,each,,6.25,100g,True,True
sobeys,flyer,OH YEAH,OH YEAH Protein Bars,OH YEAH Protein Bars,,7.0,each,,5.833333333333333,100g,True,True
sobeys,flyer,SIMPLY PROTEIN,SIMPLY PROTEIN Bars,SIMPLY PROTEIN Bars,,5.0,each,,6.25,100g,True,True
sobeys,flyer,LOVE GOOD FATS,LOVE GOOD FATS Bars,LOVE GOOD FATS Bars,,5.0,each,,6.41025641025641,100g,True,True
sobeys,flyer,ATKINS,ATKINS Protein Bar,ATKINS Protein Bar,,11.99,each,,2.398,1ea,True,True
sobeys,flyer,MADE WITH LOCAL,MADE WITH LOCAL Bars,MADE WITH LOCAL Bars,,6.0,each,,5.660377358490567,100g,True,True
sobeys,flyer,KIND,KIND Bar Minis,KIND Bar Minis,,8.99,each,,1.798,1ea,True,True
sobeys,flyer,LÄRABAR,LÄRABAR,LÄRABAR,,7.49,each,,1.498,1ea,True,True
sobeys,flyer,EVIVE,EVIVE Smoothie Cubes,EVIVE Smoothie Cubes,,8.99,each,,2.9966666666666666,1ea,True,True
sobeys,flyer,SENSIBLE,SENSIBLE PORTIONS,SENSIBLE PORTIONS,,4.49,each,,3.7416666666666667,100g,True,True
sobeys,flyer,QUEST,QUEST Protein Chips or Bars,QUEST Protein Chips or Bars,,3.99,each,,12.46875,100g,True,True
sobeys,flyer,VITA COCO,VITA COCO Water,VITA COCO Water,,4.49,each,,0.449,100ml,True,True
sobeys,flyer,JUST US!,JUST US! Coffee,JUST US! Coffee,,14.49,each,,4.261764705882353,100g,True,True
sobeys,flyer,SOL CUISINE,SOL CUISINE Plant Based Burgers,SOL CUISINE Plant Based Burgers,,5.99,each,,2.109154929577465,100g,True,True
sobeys,flyer,IMAGINE,IMAGINE Broth,IMAGINE Broth,,5.79,each,,0.579,100ml,True,True
sobeys,flyer,FLOATING LEAF,FLOATING LEAF Rice,FLOATING LEAF Rice,,5.79,each,,1.4475,100g,True,True
sobeys,flyer,ORGANIKA,ORGANIKA Collagen,ORGANIKA Collagen,,,each,,,100g,True,True
sobeys,flyer,,GREENHOUSE Cold-Pressed Juices or Kombucha,GREENHOUSE Cold-Pressed Juices or Kombucha,,,each,,,,True,True
sobeys,flyer,COMPLIMENTS,COMPLIMENTS Gluten-Free Cereal,COMPLIMENTS Gluten-Free Cereal,,3.49,each,,1.1633333333333333,100g,True,True
sobeys,flyer,COMPLIMENTS,COMPLIMENTS ORGANIC Orange Juice,COMPLIMENTS ORGANIC Orange Juice,,3.99,each,,0.2590909090909091,100ml,True,True
sobeys,flyer,GT'S,GT'S Kombucha,GT'S Kombucha,,7.0,each,,3.5,,True,True
sobeys,flyer,COMPLIMENTS,COMPLIMENTS ORGANIC Cheese,COMPLIMENTS ORGANIC Cheese,,6.49,each,,3.245,100g,True,True
sobeys,flyer,COMPLIMENTS,COMPLIMENTS ORGANIC Juice,COMPLIMENTS ORGANIC Juice,,3.99,each,,3.99,,True,True
sobeys,flyer,RISE,RISE Kombucha,RISE Kombucha,,8.49,each,,0.8490000000000001,100ml,True,True
sobeys,flyer,COMPLIMENTS,COMPLIMENTS ORGANIC Quinoa,COMPLIMENTS ORGANIC Quinoa,,5.49,each,,0.7842857142857143,100g,True,True
sobeys,flyer,COMPLIMENTS,COMPLIMENTS ORGANIC Frozen Vegetables,COMPLIMENTS ORGANIC Frozen Vegetables,,9.0,each,,1.3235294117647058,100g,True,True
sobeys,flyer,SILK,SILK Plant-Based Yogurt-Style,SILK Plant-Based Yogurt-Style,,5.99,each,,0.9359375,100g,True,True
sobeys,flyer,COMPLIMENTS,COMPLIMENTS ORGANIC Salad Blends,COMPLIMENTS ORGANIC Salad Blends,,4.99,each,,3.514084507042254,100g,True,True
sobeys,flyer,RIVIERA,RIVIERA Vegan Delights,RIVIERA Vegan Delights,,5.49,each,,1.098,100g,True,True
sobeys,flyer,GENUINE HEALTH,GENUINE HEALTH Greens or Fermented Protein,GENUINE HEALTH Greens or Fermented Protein,,,each,,,100g,True,True
sobeys,flyer,ENLIGHTENED,ENLIGHTENED Keto Frozen Dessert,ENLIGHTENED Keto Frozen Dessert,,7.99,each,,3.995,1ea,True,True
sobeys,flyer,NATURE'S PATH,NATURE'S PATH Eco Pac,NATURE'S PATH Eco Pac,,10.69,each,,1.4253333333333333,100g,True,True
sobeys,flyer,EARTH'S OWN,EARTH'S OWN Almond Beverages,EARTH'S OWN Almond Beverages,,3.99,each,,0.21111111111111114,100ml,True,True
sobeys,flyer,NATREL,NATREL ORGANIC Milk,NATREL ORGANIC Milk,,6.29,each,,0.3145,100ml,True,True
sobeys,flyer,BLUE DIAMOND,BLUE DIAMOND Almond Breeze,BLUE DIAMOND Almond Breeze,,2.69,each,,2.69,,True,True
sobeys,flyer,SILVER HILLS,SILVER HILLS Breads or Bagels,SILVER HILLS Breads or Bagels,,9.0,or 4.99 ea,,1.125,100g,False,True
sobeys,flyer,MARANATHA,MARANATHA Peanut Butter,MARANATHA Peanut Butter,,8.49,each,,1.6980000000000002,100g,True,True
sobeys,flyer,MANITOBA HARVEST,MANITOBA HARVEST Hemp Hearts,MANITOBA HARVEST Hemp Hearts,,7.99,each,,3.995,100g,True,True
sobeys,flyer,NUTIVA ORGANIC,NUTIVA ORGANIC Virigin Coconut Oil,NUTIVA ORGANIC Virigin Coconut Oil,,11.49,each,,11.49,,True,True
sobeys,flyer,R.W. KNUDSEN,R.W. KNUDSEN Juice,R.W. KNUDSEN Juice,,7.99,each,,7.99,,True,True
sobeys,flyer,MADE GOOD,"MADE GOOD Bars, Minis, Rice Crisps","MADE GOOD Bars, Minis, Rice Crisps",,3.99,each,,4.15625,100g,True,True
sobeys,flyer,QUE PASA,QUE PASA Tortilla Chips,QUE PASA Tortilla Chips,,4.29,each,,1.43,100g,True,True
sobeys,flyer,TERRA,TERRA Chips,TERRA Chips,,5.49,each,,3.327272727272727,100g,True,True
sobeys,flyer,ENLIGHTENED,ENLIGHTENED Keto Frozen Dessert,ENLIGHTENED Keto Frozen Dessert,,7.99,each,,3.995,1ea,True,True
sobeys,flyer,SMART SWEETS,SMART SWEETS,SMART SWEETS,,2.99,ea when you buy 2 or more,,5.98,100g,False,True
sobeys,flyer,POPCORNERS,POPCORNERS Popped Corn Snack,POPCORNERS Popped Corn Snack,,3.99,each,,2.8098591549295775,100g,True,True
sobeys,flyer,SIMPLY,SIMPLY ORGANIC,SIMPLY ORGANIC,,3.99,each,,2.5576923076923075,100g,True,True
sobeys,flyer,PIZZA OGGI,PIZZA OGGI Pizza or Crusts,PIZZA OGGI Pizza or Crusts,,,each,,,100g,True,True
sobeys,flyer,IMPOSSIBLE,IMPOSSIBLE Chickenless Nuggets,IMPOSSIBLE Chickenless Nuggets,,9.99,each,,2.608355091383812,100g,True,True
sobeys,flyer,BEYOND MEAT,BEYOND MEAT Plant-Based Breaded Tenders,BEYOND MEAT Plant-Based Breaded Tenders,,8.99,each,,3.9603524229074893,100g,True,True
sobeys,flyer,LITTLE NORTHERN BAKEHOUSE,LITTLE NORTHERN BAKEHOUSE Gluten Free Bread,LITTLE NORTHERN BAKEHOUSE Gluten Free Bread,,12.0,or 6.99 ea,,2.307692307692308,100g,False,True
sobeys,flyer,SILK,SILK Plant-Based Shreds,SILK Plant-Based Shreds,,5.49,each,,2.745,100g,True,True
sobeys,flyer,KINNIKINNICK,KINNIKINNICK Gluten-Free Bread,KINNIKINNICK Gluten-Free Bread,,5.99,each,,2.0374149659863945,100g,True,True
sobeys,flyer,SILK,SILK Barista Oat Beverage,SILK Barista Oat Beverage,,5.99,each,,5.99,,True,True
sobeys,flyer,AMY'S,AMY'S KITCHEN Bowls or Entrées,AMY'S KITCHEN Bowls or Entrées,,6.49,each,,2.6929460580912865,100g,True,True
sobeys,flyer,WHOLLY VEGGIE!,WHOLLY VEGGIE! Meals,WHOLLY VEGGIE! Meals,,6.99,each,,2.469964664310954,100g,True,True
sobeys,flyer,HEALTHY CHOICE,HEALTHY CHOICE Power Bowls or Zero,HEALTHY CHOICE Power Bowls or Zero,,5.49,ea when you buy 2 or more,,2.0954198473282446,100g,False,True
sobeys,flyer,BASD,BASD Hair Care,BASD Hair Care,,,each,,,,True,True
sobeys,flyer,UDI'S,UDI'S Gluten Free Bread,UDI'S Gluten Free Bread,,5.99,each,,1.761764705882353,100g,True,True
sobeys,flyer,GARDEIN,GARDEIN Meat Alternatives or Bowls,GARDEIN Meat Alternatives or Bowls,,5.49,ea when you buy 2 or more,,2.8894736842105266,100g,False,True
sobeys,flyer,GOGO QUINOA,GOGO QUINOA Pasta,GOGO QUINOA Pasta,,4.39,each,,1.9339207048458147,100g,True,True
sobeys,flyer,DAIYA,"DAIYA Cheese Style Shreds, Slices or Blocks","DAIYA Cheese Style Shreds, Slices or Blocks",,4.99,each,,2.6972972972972973,100g,True,True
sobeys,flyer,TRADITIONAL MEDICINALS,TRADITIONAL MEDICINALS Teas,TRADITIONAL MEDICINALS Teas,,4.99,each,,0.311875,1ea,True,True
